U,n,k,n,o,w,n
U,n,k,n,o,w,n
U,n,k,n,o,w,n
Quạt điều hòa Kangaroo KG50F58 (No.00756030),1.990.000₫,,"15 - 20 m2
85 W
2000 m3/h
6 lít",Giảm ngay 500.000đ,"1 đánh giá
|
0 Hỏi & đáp"
Quạt điều hoà Kangaroo KG50F62 (No.00757123),1.990.000₫,,"20 - 25 m2
110 W
3700 m3/h
33 lít",Giảm ngay 1.000.000đ,"1 đánh giá
|
0 Hỏi & đáp"
U,n,k,n,o,w,n
Quạt điều hòa KarofiI KAC-E41 (No.00756028),2.240.000₫,,"20 - 25 m2
70 W
580 m3/h
15.5 lít",Giảm ngay 1.200.000đ,"1 đánh giá
|
0 Hỏi & đáp"
U,n,k,n,o,w,n
U,n,k,n,o,w,n
U,n,k,n,o,w,n
Quạt điều hòa Kangaroo KG50F78N (No.00756031),3.590.000₫,,"20 - 25 m2
130 W
5000 m3/h
10 lít",Giảm ngay 1.400.000đ,"1 đánh giá
|
0 Hỏi & đáp"
U,n,k,n,o,w,n
U,n,k,n,o,w,n
Quạt điều hòa Karofi KAC-18R (No.00756029),3.500.000₫,,"25 - 30 m2
110 W
800 m3/h
6 lít",Giảm ngay 1.000.000đ,"1 đánh giá
|
0 Hỏi & đáp"
U,n,k,n,o,w,n
U,n,k,n,o,w,n
Quạt điều hòa Kangaroo KG50F79N (No.00757122),3.590.000₫,,"30 - 40 m2
160 W
3700 m3/h
60 lít",Giảm ngay 1.400.000đ,"1 đánh giá
|
0 Hỏi & đáp"
U,n,k,n,o,w,n
U,n,k,n,o,w,n
U,n,k,n,o,w,n
U,n,k,n,o,w,n
U,n,k,n,o,w,n
Quạt điều hòa Comfee CF-AC10AR (No.00760906),2.490.000₫,,"10 - 15 m2
70 W
600 m3/h
10 lít",Giảm ngay 2.200.000đ,"1 đánh giá
|
0 Hỏi & đáp"
U,n,k,n,o,w,n
U,n,k,n,o,w,n
Quạt điều hòa hai chiều KAROFI KAC-020HR (No.00758756),3.990.000₫,,"30 - 40 m2
160 W
2000 m3/h
16.5 lít",Giảm ngay 1.740.000đ,"1 đánh giá
|
0 Hỏi & đáp"
Quạt điều hòa Sunhouse SHD7713 (No.00764743),1.990.000₫,,"25 - 30 m2
85 W
1350 m3/h
12 lít",Giảm ngay 1.870.000đ,"1 đánh giá
|
0 Hỏi & đáp"
Quạt điều hòa Comfee CF-AC45B (No.00758945),1.990.000₫,,"20 - 25 m2
130 W
1000 m3/h
20 lít",Giảm ngay 3.260.000đ,"1 đánh giá
|
0 Hỏi & đáp"
